Total Duck Population,Vaccinated Chickens,Vaccinated Ducks,Same Species Symptomatic Infection Rate,Same Species Asymptomatic Infection Rate,Different Species Symptomatic Infection Rate,Different Species Asymptomatic Infection Rate,Chicken Symptomatic Latency Period,Duck Symptomatic Latency Period,Chicken Asymptomatic Latency Period,Duck Asymptomatic Latency Period,Chicken Symptomatic Infectious Period,Duck Symptomatic Infectious Period,Chicken Asymptomatic Infectious Period,Duck Asymptomatic Infectious Period,Chicken Symptomatic Probability,Duck Symptomatic Probability,Outbreak,Outbreak Time,Outbreak Chicken,Outbreak Duck,Outbreak Time Chicken,Outbreak Time Duck,Peak Size Whole,Peak Time Whole,Peak Size Chicken,Peak Time Chicken,Peak Size Duck,Peak Time Duck,Final Size Chicken,Final Size Duck,End Time,Detection Time Sentinel,Detection Time Random
3000,1500,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,1.4895491947971957,1.0,1.4895491947971957,0.0,0.0,1.0,0.0,4.894540630995677,,
3000,1500,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,4.682224999638726,True,True,8.691549754763484,7.166637041263775,884.0,29.49748156835356,191.0,58.820829033731464,704.0,29.77418028244928,1080.0,2801.0,74.04688149484076,21,14
3000,1500,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,2.0,8.69591324609336,2.0,8.69591324609336,0.0,0.0,3.0,0.0,9.03735168443788,,
3000,1500,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,2.531488842032448,1.0,2.531488842032448,0.0,0.0,1.0,0.0,3.4805843398972085,,
3000,1500,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,10.196067739763711,True,True,17.274000498990617,10.196067739763711,828.0,37.16706572102201,179.0,70.68277095248014,660.0,37.16706572102201,1003.0,2761.0,85.40718774196219,28,35
3000,1500,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,11.191821965739098,True,True,11.623816577971867,13.192105632921427,824.0,41.13587728524088,185.0,74.73521703731289,648.0,41.13587728524088,1114.0,2786.0,102.16604046360385,35,35
3000,1500,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,8.053831662829442,True,True,17.081652060962387,8.745364124349065,807.0,34.831759386476485,171.0,72.60353761214893,661.0,34.831759386476485,1017.0,2766.0,85.77005624742756,21,21
3000,1500,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.0018014212195180297,1.0,0.0018014212195180297,0.0,0.0,1.0,0.0,2.8585643268015772,,
3000,1500,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.4352815654255717,1.0,0.4352815654255717,0.0,0.0,1.0,0.0,0.8344647496883516,,
3000,1500,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,7.271120259587482,True,True,11.473999503769765,7.271120259587482,828.0,36.87444574525105,178.0,70.53287207285713,656.0,36.60799413216935,1058.0,2755.0,85.8638440995048,28,35
3000,1500,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,5.364307744106983,True,True,23.888235879798962,14.933501797901533,785.0,41.64406654648197,158.0,84.50579755200306,637.0,41.760599185237204,1006.0,2734.0,91.65589268206968,35,42
3000,1500,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,7.508643049443268,True,True,13.22448456146536,8.359238330022716,826.0,40.30127123084873,176.0,81.93567674291667,664.0,38.9032605569797,1012.0,2803.0,109.77188595850518,35,35
3000,1500,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,2.0,4.774689142808701,2.0,4.774689142808701,0.0,0.0,2.0,0.0,6.907373794875761,,
3000,1500,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,1.9723448502965109,1.0,1.9723448502965109,0.0,0.0,1.0,0.0,3.1366333787218696,,
3000,1500,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.4083483825071359,1.0,0.4083483825071359,0.0,0.0,1.0,0.0,4.077785707975492,,
3000,1500,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,6.93962343385292,True,True,18.536168941450228,8.37166938579093,866.0,38.787134508318964,177.0,72.17603285985963,695.0,38.57633317519617,1043.0,2764.0,84.6479121008274,28,28
