Total Duck Population,Vaccinated Chickens,Vaccinated Ducks,Same Species Symptomatic Infection Rate,Same Species Asymptomatic Infection Rate,Different Species Symptomatic Infection Rate,Different Species Asymptomatic Infection Rate,Chicken Symptomatic Latency Period,Duck Symptomatic Latency Period,Chicken Asymptomatic Latency Period,Duck Asymptomatic Latency Period,Chicken Symptomatic Infectious Period,Duck Symptomatic Infectious Period,Chicken Asymptomatic Infectious Period,Duck Asymptomatic Infectious Period,Chicken Symptomatic Probability,Duck Symptomatic Probability,Outbreak,Outbreak Time,Outbreak Chicken,Outbreak Duck,Outbreak Time Chicken,Outbreak Time Duck,Peak Size Whole,Peak Time Whole,Peak Size Chicken,Peak Time Chicken,Peak Size Duck,Peak Time Duck,Final Size Chicken,Final Size Duck,End Time,Detection Time Sentinel,Detection Time Random
3000,0,2400,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,6.61358260275894,True,True,6.9525670700475155,20.728882822487677,401.0,36.10762633013284,363.0,74.89559627840434,54.0,43.41894613325098,2400.0,255.0,96.80557766839362,28,35
3000,0,2400,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.09307058239301391,1.0,0.09307058239301391,0.0,0.0,2.0,0.0,2.835493715747221,,
3000,0,2400,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,5.253682282423398,True,True,5.253682282423398,16.728766263296734,359.0,37.571580307910374,322.0,74.49690373943125,40.0,36.68798266843276,2380.0,254.0,101.24574346346321,28,14
3000,0,2400,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,10.003377588713079,True,True,10.003377588713079,25.580594798929184,358.0,41.031084301990724,340.0,83.42082053742541,31.0,53.384248965802286,2356.0,226.0,137.83307666016887,28,14
3000,0,2400,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,8.872841138961835,True,True,8.872841138961835,24.198600838317343,301.0,47.40419714353688,267.0,85.15332651850454,47.0,43.639236100505116,2308.0,272.0,100.29252097776727,28,28
3000,0,2400,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,10.741588006435979,True,True,10.741588006435979,27.625682860178753,362.0,42.7349570588848,333.0,85.5283393463094,51.0,45.926438387933636,2275.0,247.0,102.77822897549592,21,21
3000,0,2400,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,12.382404598998814,True,True,12.382404598998814,21.833772872134446,376.0,40.40917464260191,339.0,76.30868535665923,52.0,42.648264098904455,2321.0,275.0,100.8166598146309,28,35
3000,0,2400,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,8.717323496282678,True,True,8.717323496282678,21.475530431492416,316.0,37.69048818565747,287.0,71.87147337148289,38.0,34.24583970866047,2240.0,259.0,95.05643005638392,28,21
3000,0,2400,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,1.5717351788751428,1.0,1.5717351788751428,0.0,0.0,1.0,0.0,1.6876350654733492,,
3000,0,2400,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,13.619989683688745,True,True,13.619989683688745,27.09900074841812,373.0,44.35105562738713,327.0,76.05365651046567,61.0,50.30705821673069,2252.0,284.0,95.20938110078437,21,28
